uid,percentage
u00,0.289151157512483
u01,0.0
u02,0.07309766327142002
u03,0.0
u04,0.0
u05,0.0
u07,0.0
u08,0.3243801652892562
u09,0.0
u10,0.0
u12,0.21192411924119242
u13,0.3289205702647658
u14,0.0
u15,0.0
u16,0.0
u17,0.0
u18,0.0
u19,0.0
u20,0.0
u22,0.0
u23,0.0
u24,0.17613636363636365
u25,0.0
u27,0.0
u30,0.0
u31,0.15632754342431762
u32,0.0
u33,0.0
u34,0.0
u35,0.0
u36,0.018609742747673783
u39,0.0
u41,0.0
u42,0.0
u43,0.0
u44,0.0
u45,0.0
u46,0.24074074074074073
u47,0.30559540889526543
u49,0.318348623853211
u50,0.05734406438631791
u51,0.037923250564334085
u52,0.13806380638063806
u53,0.003385240352064997
u54,0.44415752098127825
u56,0.0675920337960169
u57,0.16442048517520216
u58,0.08823529411764706
u59,0.2283858070964518
