uid,percentage
u00,0.0740343347639485
u01,0.0
u02,0.7036089070898387
u03,0.0
u04,0.0
u05,0.0
u07,0.0
u08,0.7384800965018095
u09,0.0
u10,0.0
u12,0.5328265376641327
u13,0.17612293144208038
u14,0.0
u15,0.0
u16,0.000664451827242525
u17,0.0
u18,0.0
u19,0.0
u20,0.0
u22,0.0014378145219266715
u23,0.0
u24,0.40982142857142856
u25,0.0012804097311139564
u27,0.0
u30,0.0
u31,0.5471766848816029
u32,0.0008058017727639
u33,0.0
u34,0.0
u35,0.0
u36,0.015342465753424657
u39,0.0
u41,0.0
u42,0.0
u43,0.0008025682182985554
u44,0.0
u45,0.0
u46,0.6821236559139785
u47,0.002061855670103093
u49,0.5631421942326815
u50,0.04285714285714286
u51,0.01429230059935454
u52,0.0
u53,0.0
u54,0.8768174474959612
u56,0.6948911052310197
u57,0.7851473922902494
u58,0.08066502463054187
u59,0.7695481741283268
